Playlist Name,Video Name,Video URL,Duration,Preview Image
Badass Anime Moments,Badass Anime Moments With Anime & Music Name Part 7 (TikTok Compilation),https://www.youtube.com/watch?v=gF-hfqhOe9k,PT12M59S,https://i.ytimg.com/vi/gF-hfqhOe9k/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 8 (Anime & Music Name Included),https://www.youtube.com/watch?v=ckWGNzzcOBo,PT11M6S,https://i.ytimg.com/vi/ckWGNzzcOBo/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 9 (Anime & Music Name Included),https://www.youtube.com/watch?v=0q0-qMPzB_w,PT9M33S,https://i.ytimg.com/vi/0q0-qMPzB_w/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 10 (Anime & Music Name Included),https://www.youtube.com/watch?v=LhfKbfIbmd4,PT11M17S,https://i.ytimg.com/vi/LhfKbfIbmd4/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 11 (Anime & Music Name Included),https://www.youtube.com/watch?v=pNcTE4_bvFY,PT10M8S,https://i.ytimg.com/vi/pNcTE4_bvFY/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 12 (Anime & Music Name Included),https://www.youtube.com/watch?v=-wUkd9YBDDU,PT11M55S,https://i.ytimg.com/vi/-wUkd9YBDDU/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 13 (Anime & Music Name Included),https://www.youtube.com/watch?v=j7EIQAG5PEo,PT9M58S,https://i.ytimg.com/vi/j7EIQAG5PEo/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 14 (Anime & Music Name Included),https://www.youtube.com/watch?v=5GRfzzYfLvA,PT9M19S,https://i.ytimg.com/vi/5GRfzzYfLvA/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 15 (Anime & Music Name Included),https://www.youtube.com/watch?v=V7ZYbbUihSU,PT8M24S,https://i.ytimg.com/vi/V7ZYbbUihSU/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 16 (Anime & Music Name Included),https://www.youtube.com/watch?v=B9SPZw2h8UQ,PT9M2S,https://i.ytimg.com/vi/B9SPZw2h8UQ/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 17 (Anime & Music Name Included),https://www.youtube.com/watch?v=flDGcEMRgvQ,PT11M11S,https://i.ytimg.com/vi/flDGcEMRgvQ/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 18 (Anime & Music Name Included),https://www.youtube.com/watch?v=uBUfcyWViKY,PT8M34S,https://i.ytimg.com/vi/uBUfcyWViKY/hqdefault.jpg
